Price,Close,High,Low,Open,Volume,RSI,MACD
Ticker,TARKM.IS,TARKM.IS,TARKM.IS,TARKM.IS,TARKM.IS,,
Date,,,,,,,
2024-04-15,607.5,619.5,594.5,610.0,343176.0,36.8421052631579,-18.013147246850394
2024-04-16,585.0,606.0,580.5,606.0,244366.0,33.1081081081081,-18.637399300738025
2024-04-17,582.0,598.5,571.0,587.0,207415.0,33.03370786516854,-19.153409892236937
2024-04-18,570.5,589.0,567.0,585.5,230713.0,32.8125,-20.25679813466786
2024-04-19,575.0,592.5,557.5,569.0,237637.0,37.32057416267942,-20.53145504102065
2024-04-22,569.0,597.0,567.0,577.0,243254.0,33.00733496332518,-20.991297858920802
2024-04-24,601.0,625.5,570.5,570.5,1093684.0,42.7038626609442,-18.559649948626884
2024-04-25,580.0,607.0,578.0,601.5,352520.0,37.32251521298175,-18.118220389865314
2024-04-26,585.0,590.0,575.0,581.0,209532.0,44.090909090909086,-17.167035175566525
2024-04-29,569.0,596.0,565.0,589.0,235931.0,44.090909090909086,-17.502522142419934
2024-04-30,565.5,579.5,563.5,571.0,226832.0,43.99092970521542,-17.845111394029686
2024-05-02,576.5,585.5,566.0,570.0,423209.0,51.55131264916468,-17.032665806042587
2024-05-03,579.0,596.0,573.0,576.5,379234.0,55.667506297229224,-16.002599709402716
2024-05-06,574.5,584.5,569.0,580.5,269363.0,37.288135593220346,-15.372176417626065
2024-05-07,566.5,596.5,546.5,575.0,363154.0,36.423841059602644,-15.341250175719892
2024-05-08,568.5,573.0,565.5,569.0,209309.0,43.67816091954023,-14.982646992736704
2024-05-09,555.0,572.0,551.0,571.0,203541.0,40.42553191489361,-15.607870744043566
2024-05-10,540.0,555.0,540.0,555.0,198505.0,39.44636678200691,-17.116432136161052
2024-05-13,515.0,540.5,515.0,540.0,252552.0,31.818181818181813,-20.097596393390745
2024-05-14,519.5,527.5,510.0,510.0,191030.0,34.862385321100916,-21.845259598987923
2024-05-15,529.0,559.0,522.0,522.5,412864.0,24.468085106382986,-22.207727813071415
2024-05-16,531.5,537.0,525.0,527.5,146108.0,30.20408163265307,-22.039203162417948
2024-05-17,533.0,550.5,531.5,535.0,259899.0,28.151260504201687,-21.536351049656332
2024-05-20,530.5,536.0,526.0,533.0,218053.0,31.753554502369667,-21.09638029407779
2024-05-21,515.5,533.5,514.0,531.0,195458.0,28.632478632478623,-21.707840467979736
2024-05-22,524.0,528.0,515.0,515.5,188011.0,27.074235807860262,-21.261459231373124
2024-05-23,516.0,531.0,515.5,529.0,161872.0,23.750000000000014,-21.307611148773958
2024-05-24,505.0,517.0,500.0,516.5,148038.0,22.529644268774703,-21.978441156438066
2024-05-27,490.0,510.0,489.0,505.0,278623.0,21.348314606741567,-23.45013485296772
